timestamp,bcv_rate,parallel_rate,spread_pct,source
2026-07-01T04:34:45.192549,633.3644,733.1472,15.75,ve.dolarapi.com
2026-07-01T12:25:35.323339,633.3644,734.7675,16.01,ve.dolarapi.com
2026-07-01T13:26:11.876257,633.3644,737.4835,16.44,ve.dolarapi.com
2026-07-01T14:27:00.434862,633.3644,734.11,15.91,ve.dolarapi.com
2026-07-01T15:27:45.433498,,734.075,,ve.dolarapi.com
2026-07-01T15:59:43.347653,,734.075,,ve.dolarapi.com
2026-07-01T16:31:42.147953,,732.2475,,ve.dolarapi.com
2026-07-01T17:03:36.955771,633.3644,732.2475,15.61,ve.dolarapi.com
2026-07-01T17:34:25.235975,,734.0494,,ve.dolarapi.com
2026-07-01T18:06:17.699438,633.3644,734.3678,15.95,ve.dolarapi.com
2026-07-01T19:06:59.109196,633.3644,734.524,15.97,ve.dolarapi.com
2026-07-01T20:07:47.331553,633.3644,736.35,16.26,ve.dolarapi.com
2026-07-01T21:08:28.651916,633.3644,735.1071,16.06,ve.dolarapi.com
2026-07-01T21:39:12.537154,639.7029,735.1071,14.91,ve.dolarapi.com
2026-07-02T04:12:03.573132,639.7029,736.5955,15.15,ve.dolarapi.com
2026-07-02T12:25:40.919237,639.7029,734.5648,14.83,ve.dolarapi.com
2026-07-02T13:26:25.654707,639.7029,733.39,14.65,ve.dolarapi.com
2026-07-02T14:27:09.341247,639.7029,733.5719,14.67,ve.dolarapi.com
2026-07-02T15:28:54.839130,639.7029,734.2002,14.77,ve.dolarapi.com
2026-07-02T16:29:43.949924,639.7029,734.4269,14.81,ve.dolarapi.com
2026-07-02T17:30:48.205124,639.7029,734.4473,14.81,ve.dolarapi.com
2026-07-02T18:33:30.101750,639.7029,734.3238,14.79,ve.dolarapi.com
2026-07-02T19:04:32.808021,639.7029,734.176,14.77,ve.dolarapi.com
2026-07-02T20:05:28.399023,,734.856,,ve.dolarapi.com
2026-07-02T20:37:21.212543,,734.856,,ve.dolarapi.com
2026-07-02T21:09:02.272250,,735.4633,,ve.dolarapi.com
2026-07-02T21:40:54.089544,,735.4633,,ve.dolarapi.com
2026-07-02T22:12:44.125736,,735.4633,,ve.dolarapi.com
2026-07-02T22:44:30.382893,,735.4633,,ve.dolarapi.com
2026-07-02T23:16:18.932680,,735.4633,,ve.dolarapi.com
2026-07-02T23:48:18.978273,,735.4633,,ve.dolarapi.com
2026-07-03T00:20:06.805250,,735.4633,,ve.dolarapi.com
2026-07-03T00:52:01.846484,,735.4633,,ve.dolarapi.com
2026-07-03T01:23:45.404262,,735.4633,,ve.dolarapi.com
2026-07-03T01:55:38.785573,652.9726,735.4633,12.63,ve.dolarapi.com
2026-07-03T04:27:53.691300,652.9726,739.0,13.17,ve.dolarapi.com
2026-07-03T12:26:08.001501,652.9726,736.0325,12.72,ve.dolarapi.com
2026-07-03T13:26:49.782984,652.9726,737.687,12.97,ve.dolarapi.com
2026-07-03T14:27:29.591504,652.9726,735.0182,12.56,ve.dolarapi.com
2026-07-03T14:58:39.843843,,735.0182,,ve.dolarapi.com
2026-07-03T15:30:36.667161,,736.1852,,ve.dolarapi.com
2026-07-03T16:02:33.228557,,736.1852,,ve.dolarapi.com
2026-07-03T16:34:20.218059,,736.045,,ve.dolarapi.com
2026-07-03T17:06:06.202228,,736.9386,,ve.dolarapi.com
2026-07-03T17:37:53.891382,,736.9386,,ve.dolarapi.com
2026-07-03T18:09:37.984100,,736.9797,,ve.dolarapi.com
2026-07-03T18:41:45.276749,,736.9797,,ve.dolarapi.com
2026-07-03T19:13:33.330368,,737.294,,ve.dolarapi.com
2026-07-03T19:45:17.837310,,737.294,,ve.dolarapi.com
2026-07-03T20:17:01.385656,,736.915,,ve.dolarapi.com
2026-07-03T20:48:46.336514,,736.915,,ve.dolarapi.com
2026-07-03T21:20:45.485261,,737.9125,,ve.dolarapi.com
2026-07-03T21:52:30.282956,,737.9125,,ve.dolarapi.com
2026-07-03T22:24:15.132532,,737.9125,,ve.dolarapi.com
2026-07-03T22:56:15.573300,,737.9125,,ve.dolarapi.com
2026-07-03T23:27:59.159975,,737.9125,,ve.dolarapi.com
2026-07-03T23:59:41.345274,,737.9125,,ve.dolarapi.com
2026-07-04T00:31:24.024607,,737.9125,,ve.dolarapi.com
2026-07-04T01:03:08.852608,,737.9125,,ve.dolarapi.com
2026-07-04T01:34:50.472536,,737.9125,,ve.dolarapi.com
2026-07-04T02:06:29.472681,667.05,737.9125,10.62,ve.dolarapi.com
2026-07-04T04:07:06.431396,667.05,768.9112,15.27,ve.dolarapi.com
2026-07-04T12:25:37.283054,667.05,773.0616,15.89,ve.dolarapi.com
2026-07-04T15:26:56.804671,667.05,761.9174,14.22,ve.dolarapi.com
2026-07-04T18:28:17.401888,667.05,750.3,12.48,ve.dolarapi.com
2026-07-04T21:29:28.937508,667.05,753.8913,13.02,ve.dolarapi.com
2026-07-05T04:31:50.161250,667.05,751.6275,12.68,ve.dolarapi.com
2026-07-05T12:25:33.850916,667.05,752.7469,12.85,ve.dolarapi.com
2026-07-05T15:26:47.570581,667.05,751.9801,12.73,ve.dolarapi.com
2026-07-05T18:28:01.924207,667.05,745.8297,11.81,ve.dolarapi.com
2026-07-05T21:29:13.902647,667.05,746.105,11.85,ve.dolarapi.com
2026-07-06T04:31:34.356229,667.05,742.6558,11.33,ve.dolarapi.com
2026-07-06T12:31:28.683808,667.05,744.5266,11.61,ve.dolarapi.com
2026-07-06T13:32:07.474506,667.05,749.0974,12.3,ve.dolarapi.com
2026-07-06T14:32:45.899765,667.05,742.8884,11.37,ve.dolarapi.com
2026-07-06T15:33:25.604954,667.05,745.1788,11.71,ve.dolarapi.com
2026-07-06T17:34:27.291793,667.05,749.7582,12.4,ve.dolarapi.com
2026-07-06T18:05:21.071610,667.05,752.9746,12.88,ve.dolarapi.com
